section;entree;nature;sous_entree;traduction_ewe
A;;;q. devant le chef;tso ame nu na fia.
A;;;ses;péchés wu nuvôwo me na . . . acerbe  a  veve,  helîhelï  (veve  helîhelî).
A;acérer;vt;;nyrê nu.
A;acharnement;m;;dziku, anyirawowg, nkubiabiâ.
A;acharner;vt;;kpla avû do. s'acharner  contre   lu  de  ame  (nu)  dzi,  wo  any  ira  le ame  nu. s'-  à  qc.   do  vevie  nu,  dze  agbagba.
A;achat;m;;nuîeîle.
A;;;(de;liquides) nudzedze. prix  d'-  asimeho,
A;acheminer;vt;;do mg nu.
A;s'acheminer;v;;dze mg dzi.
A;acheter;vt;;île nu ; — dze nu (liquides, grains), ho  nu.
A;;;qc. à deux francs;île nu îrâ eve.
A;;;au comptant;île nu kple gasiasi.
A;;;à crédit;île nu agbana
A;;;à bon marché;îo abgnyônu, edi ekpo.
A;;;qc de q.;île nu le ame si.
A;;;qc. pour q.;île nu na ame.
A;;;pour un franc;île nu îrâ deka nu. achetéresse  î  \   „  9 *  , acheteur    m)  nuîlela-
A;achèvement;m;;nuwuwu, tsotsg; vgvgnu.
A;achever;vt;;wu nu, vo nu, do mlge nu. Vocabulaire  o 14  •  ach  —  act être  achevé    tso,  vo.
A;s'achever;v;;wu mi, vo. achoppement  (pierre  (T-)    kpe  kikli,  mohenu. acide    a   veve  ;  lé  atse.
A;acier;m;;ga sesê.
A;acompte;m;;akana, îemekaka. payer  un-   ka  îe  nie,  na  akama,  ka  îe  dzi  he;
A;à-coup;m;;dudu, hehe, kpotiti.
A;acquérir;vt;;ho nu, ho nu to dowowo me.
A;;;des connaissances;srô nu, kpla nunya.
A;;;des richesses;kpo kesinonu.
A;acquêt;m;;hoho, kpokpo.
A;acquiescement;m;;nyadzilolô.
A;acquiescer,;vt;;lô de nyâ dzi. acquisition    î    hoho,  dowoho,  îetu,  vide. faire  P-  de  qc.    île  nu,  ho  nu. acquittement    aîiatsotso,  aîianyuietsotso.
A;acquitter;vt;;tso aîia nyuie na ame. s'-  de  ses  dettes    he  îe  na  ame,  tu  îe,  vo  îe. s'-  de  son  devoir   wo  de  do  dzi,  vo  dowowo.. s'-  d'une  commission  :    de  do  gbe, acre   a   ve,  veve,  dudu  ;  tomelélé. acreté   î  veve  (Pade  dzi,  le  nu  me), acrimonie   î   veve  (le  lame), acrimonieux    a    veve  helïhelï.
A;acte;m;;do, wowo, nuwowo; — agbalë.
A;;;de complaisance;nyonyô, nudzeamewowo.
A;;;d'hostilité;kelélé ; tamesênuwowo. actif   a   wonu,  wawa,  bibi,  zâze. action   î    nuwowo  ;  —  awakpekpe  ;  —  nutsotso>
A;;;de;grâces akpedada. former  une  —  contre  q.    tso  ame  nu. engager  P-   he  awa  va  (dze  awa  gome). intenter  une  -en  justice  :    sama  ame.
A;activement;adv;;kple veviedodo, veviedonutoe.
A;activer;vt;;do vevie nu, do nu de ngo, wo nui woadze  dzi  nyuie. activité     î    wawa,  veviedodonu.
A;acteur;m;;nutsu îeîela, nuwola. actrice   î  nyonu  îeîela. actuel    a    îiîito,  azoto,  îifi. act  —  adm
A;actuellement;adv;;fifia, fifi, fifilayi.
A;adage;m;;lododo. Adam    np    Adam  (nutsu  riko). pomme  d'-    akokoe,  atsokoe  vekoe,  ahanohe. adaptation    î    soso  de  nu  nu,  soso  kple  nu.
A;adapter;vt;;so nu de nu nu, dzi dze nu ekpo. addition    î    nukpedenu  ;  nudede  nu  me. faire  une-    kpe  nu  de  nu  nu.
A;additionner;vt;;kpe nu de nu nu. adepte    a    nunyala  ;  hameme,  hameto. adéquat   a    sosoe,  alesi  edze  ene.
