section;entree;nature;sous_entree;traduction_ewe
A;administrateur;m;;dzidula, nunola
A;administration;f;;takpokpo, dzidudu, nunono
A;administrer;vt;;na nu ame
A;;;les sacrements;na sakramentowo ame
A;;;un malade;si Amikokoe na dono
A;;;des coups de bâton;îo ame kple ati, \via ame kple ba
A;admiration;f;;nukunuwowo, kafukafu
A;admirer;vt;;kafu, wo nuku na ame, kpo nu mo-yatoe
A;admission;f;;amehoho de nu me, monana
A;admixtion;f;;tsakatsaka
A;admonester;vt;;hlô nu ame, gbe nya na ame
A;;;q. en particulier;ha wonu ame le bebe me
A;admoniteur;m;;dzikpola
A;adolescent;m;;dekakpui
A;s'adonner;v;;tso dokui na
A;;;au libertinage;no agbe bada, dze ha
A;;;un enfant;ho devi de viawo dome
A;;;une opinion;lô de nu dzi, lô de susu ade dzi
A;adoption;f;;devi lioho dzi
A;adoration;f;;Mawu sesê
A;adorer;vt;;së Mawu, bliba na Mawu
A;;;les idoles;subo (wo) trô, li trô
A;s'adosser;v;;de mê nu
A;;;contre un mur;de aha gli, de mê gli
A;adoucir;vt;;wo nu wovivi
A;;;la colère;fa dzi na ame
A;;;la douleur;fa veve nu
A;adoucissement;m;;îafa, akofafa, viviwowo
A;adresse;f;;nkononlo de leta dzi
A;adresser;vt;;fia, kplo
A;;;une lettre;nlo ame nko kple nofe de leta dzi
A;;;la parole à q.;fo nu na ame, gblo nya na ame
A;;;des reproches à;ka mo na ame
A;adulateur;m;;apeyola, apedula, numevivito
A;adulation;f;;apeyoyo, apedudu
A;aduler;vt;;yo ape, du ape
A;adulte;m;;ame tsitsi
A;adultère;m;;(acte) ahasiwowo^ amesrômomô
A;;;(homme);ahasiwola, amesrômôla
A;adultérin;m;;ahasivi, gbolovi, gbomeîuvi
A;adverbe;m;;adverb
A;adversaire;m;;futo, ametâla, fulela, keto
A;adversité;f;;dzogbevôe, fukpekpe, nuhaha
A;aérer;vt;;sia nu de ya nu
A;aéroplane;m;;yamewu
A;aéronaute;m;;yameWudola, yamewukula
A;affabilité;f;;domenyonyo, mokoko, domefatonyenye
A;affadir;vt;;wo be nu menyo na dudu o
A;affaiblir;vt;;wo lame gbodzo
A;s'affaiblir;vt;;gbodzo
A;affaiblissement;m;;gbodzogbodzo, nude<Je, nude-deda
A;affaire;f;;nya, nyadzodzo, nu
A;affaissement;m;;lame gbodzogbodzo
A;affaisser;vt;;te de anyi
A;s'affaisser;v;;tra wo, yi to, dze anyi, lame tutu» n'ame
A;affectation;f;;nuwowo • adanutoe, nukpakpa de nu dzi. <8 aîî — aîî affecté a adanutoe
A;affecter;vt;;lô nu wu, wo alakpanu
A;affection;f;;lolô
A;affermir;vt;;do nusë nu, wo nu woasênu, ka de nudzi
A;affermissement;m;;nusêdodo, kakâdedzi
A;affiche;f;;agbalê si wo klâ de gli nu hena nyata-kaka
A;affiler;vt;;nyirê nu (he, yi, kodzi)
A;affiliation;f;;hoho de habobo me
A;affilié;m;;hameme, hameto, habobometo
A;affilier;vt;;ho ame de habobo me
A;s'affilier;v;;zo kple ame, yi de ame dzi, do ha kple ame
A;affiner;vt;;klo, lolo nu (des métaux)
A;affinité;f;;fomedodo
A;affirmer;vt;;do kpe nya dzi, ka de nu dzi
A;affliction;f;;fudede, fukpekpe, nuhaha
A;affliger;vt;;de fui na ame, ve dome na ame, du dzi na ame
A;;;son corps;wo nuveve amedokui, na vevesese amedokui
A;affluence;f;;zifofo, hadede, hahado agbososo
A;affluent;m;;alodzedze, alo, alodze
A;affolement;m;;tametoto, bublu, nyamanyama
A;affoler;vt;;ble ame, flu ame, toto tame na ame
A;affranchir;vt;;ho ame
A;;;une;lettre he fe de leta ta
A;affranchissement;m;;dede, hoho, asidede ame nu, monana
A;affre;f;;vodidi, nodzi, vovô
A;affréter;vt;;de agba wu
A;africain;m;;ameyi, afrikato
A;affront;m;;dzudzu, nukpe
A;affronter,;vt;;tsi tre de nu nu, kpa ngo ame
A;;;Pennemi;kpe awa kalêtoe
A;affût;m;;hadede
A;agacer;vt;;dia ame nu, via ame nu, dzi ge ame nu
A;agacerie;f;;gedzidzi
A;agacement;m;;gedzidzi
A;âge;m;;tsitsime, fehoho
A;;;mûr;tsitsime
A;;;avancé;amegâkuku, nyagâkuku, fe gede hoho
A;agencer;vt;;dô nu
A;agence;f;;dowowo, agbanunono, agbanunofe
A;agenouiller;vt;;dze klo
A;s'agenouiller;v;;dze klo
A;agent;m;;dowola, agbanunola, do fe amegâ
A;agglomération;f;;fufofo, kolili, tutudo
A;agglomérer;vt;;îo nu efu, li ko nu
A;aglutiner;vt;;dre ario de nu nu, lé nu kple arip
A;aggraver,;vt;;kpe, do kpe dzi
A;agiotage;m;;akasadidi
A;agir;vt;;wo nu
A;;;à la légère;wo nu tamemabutoe, fo aka
A;;;bien envers q.;wo ame nyuie
A;;;mal envers q.;wo nu vevie ame
A;agitateur;m;;aglâdzela, zitola
A;agiter;vt;;wâ, to zi, îo zi
A;;;une question;îo nu le nya nu, ke di le nya nu, do nya da
A;;;q. (émouvoir);zi ame, de dzo lame na ame
A;s'agiter;v;;tsi dzodzodzoe, wâ
A;agneau;m;;alêvi
A;;;de Dieu;Mawu îe alêvi
A;;;pascal;paska 'lêvi
A;agonisant;m;;kudoîola
A;agrandir;vt;;wo nu woalolo de dzi, keke nu de nu
A;agrandissement;m;;lolodedzi, takeke
A;;;au;goût vivi
A;;;à Podorat;lïlïlï, wewë
A;agrément,;m;;lolô de nu dzi, dekawowo, nudzedze
A;agresser;vt;;dze nu dzi, lé nu (ame)
A;agression;f;;awakpekpe
A;agriculteur;m;;agbledela
A;agriculture;f;;agbledede
A;agronomie;f;;agblededenufnunya
A;agrouper;vt;;fo nu fu
A;aide;m;;kpekpedenu
A;aider;vt;;kpe de ame nu, lé eme na ame
A;;;vi;de asi do me na ame, do asi de ame gbo
A;;;à q. au travail;de asi dowowo me na ame
A;aïeul;m;;togbui
A;aïeule;f;;marna, aïeux mpl blematogbuiwo
A;aigle;m;;hô
A;aiglon;m;;hôvi
A;aigreur;f;;veve
A;aigrir;vt;;ve dome na ame, do dziku na ame
A;aiguille;f;;abi, abui, nutonu
A;;;de montre;gameîianu, alo
A;aiguillon;m;;nu, te, ti, fu, ge, anyô
A;aiguillonner;vt;;zi ame dzi, îo du de ame te
A;aiguiser;vt;;nyirê nu, li nu
A;aile;f;;avtfaïa, ahalâ
A;ailleurs;adv;;afi bubu, afi bubu godzi
A;d'-;adv;;tso afi bubu
A;aimer;vt;;lô nu, lô ame
A;;;la goutte;lô aha nono, wo ahatukpa îe do
A;;;q.;lô ame îe nya gbo
A;;;qc. davantage;nu evivi na ame wu, nu edze ame nu wu
A;ainsi;adv;;aie, sigbe, nenemâ, to ale mo sia dzi
A;;;que;abe ne
A;air;m;;yâ
A;air;m;;dzedzeme, nonome, mododo
A;air;m;;gbe, gbedidi, hagbedidi
A;airain;m;;ga dzê, ga sesê
A;aire;f;;hô îe ato
A;aisance;f;;bobo, wodzuinono
A;;;(bien-être);hokpokpo, kesinotonyenye
A;aise;f;;modzeanyi, nudzedze, nunyôname, lâmesesê
A;aisément;adv;;boboe, wodzui, kedzê
A;ajournement;m;;tsodikpo azâdockx
A;ajourner;vt;;tso nya do nkeke bubu dzi, do nu de megbe, gblê nya
A;ajouter;vt;;kpe de nu nu
A;;;(en comptant);hlê nu de dzi
A;;;foi à qc.;ho nya dzi se, ho nu dzi se
A;ajuster;vt;;dzra nu do, do nu, so nya, dzidze nu kpo
A;;;qc. à une autre;so nu de nu nu, tsya nu de nu nu
